subforum,thread_title,post_subject,post_counter,post_content,post_time,username,user_posts_per_day,user_total_posts,quoted_post,quoted_username,img_urls,embed_urls,other_urls,,dialogue_acts,conversation_end
"Love, Courtship and Marriage","""Almost"" Relationships","""Almost"" Relationships",1,"It's a norm these days; yung mga no label, no strings attached, etc. Why do you think this kind of relationship is prevalent and being accepted in this generation?",27-Apr-17,hello.sunshine,0.75,256,,,,,,,"Question, Comment",No
"Love, Courtship and Marriage","""Almost"" Relationships",,2,Because people nowadays simply don't care or it's not as important as it used to be. People do what they want and don't want to be bothered or inconvenienced by those things anymore.,27-Apr-17,jcdy,0.89,"1,637",,,,,,,Comment,No
"Love, Courtship and Marriage","""Almost"" Relationships",,3,"Nothing to worry about ts.. this type of relationship has been around for a very long time. In the past the only people who can engage in this type of relationship are those in very active social circles... Usually the rich.. Today, thank god for the internet, we can have sex with as many people we find interesting. Tumabla lang tayo sa mga mayayaman..",10-May-17,darmonx,1.14,"3,569",,,,,,,"Comment, Others",No
"Love, Courtship and Marriage","""Almost"" Relationships",,4,"^ hmm interesting sa exp ko wala naman akong napansin na prevalent yang practice na yan nung formative years ko and my parents (are) and mingles with socialites,,rich people but not mega filthy rich. but I do got wind sometimes of extra marital affairs within or of some of them in their circle. iba na nga ngayon. mabilis ma influenced at mag evolve ang kabataan gawa nam innernet. fb ginagawang dating site. am daming giriian na nangyayari between opposite and same sexes",22-Jun-17,JUST_JT_,0.71,"1,823",,,,,,,"Comment, Others",No
"Love, Courtship and Marriage","""Almost"" Relationships",,5,"Instant gratification coupled with restlessness and lack of patience. Habang masaya, game pa rin. Pero once na bore na, nagsawa na, hindi na fun, hahanap na ng iba. And having no labels make that easier to do.",22-Jun-17,Nils,4.34,"25,613","It's a norm these days; yung mga no label, no strings attached, etc. Why do you think this kind of relationship is prevalent and being accepted in this generation?",hello.sunshine,,,,,"Backchannel, Comment",No
"Love, Courtship and Marriage","""Almost"" Relationships",,6,"Always do what makes you happy... Stay away from stressors of the world... In short pag andyan na ang conflict, people these days find it easy to quit and move on just like that...",28-Jun-17,summerseth08,2.3,"5,688",,,,,,,"Comment, Others",No
Visas and Immigration,"""Discover How You Can Immigrate to Canada"" ...Without Spending Thousands of Dollars","""Discover How You Can Immigrate to Canada"" ...Without Spending Thousands of Dollars",1,"Dear Future Canadian, According to Immigration Canada data, every year, Canada plans to accept between 225,000 to 265,000 immigrants, to meet Canada's goals of economic benefit. We sure hope YOU will be AMONG THE ONES that successfully Immigrate to Canada and build a new and prosperous life for you and your family here. There are two ways of applying for a Permanent Resident for Canada. You can do all the work yourself and save a lot of money, or you can pay an Immigration Consultant between $1,000 to $3,000 or more to prepare the files for you. That is a lot of money even for someone living in a wealthy country. Truth is, most people can not afford that kind of money. That is why we designed "" My Immigration Consultant"" more on this in a bit... here is what one customer say Your software is just unbelievable. I was able to easily navigate and get everything I needed to place my application in fast. I was called for an interview at the Canadian Embassy. For info just click the link: http://c2d3aynlnhbohx78091z296etg.ho.../?tid=9YBNB5DP",9-Sep-12,pangeyt8,0,8,,,,,http://c2d3aynlnhbohx78091z296etg.hop.clickbank.net/?tid=9YBNB5DP,,Others,No
Visas and Immigration,"""Discover How You Can Immigrate to Canada"" ...Without Spending Thousands of Dollars",The Ultimate Guide To Moving Abroad In 30 Days.,2,"Dear Future Expat, ""Discover The Ultimate Guide To Moving Abroad In 30 Days. Everything From Making The Decision To Move Right Through To Living In Your Dream Country."" for info please click the link: http://5d4e9ziiv9ni9nedkjudwevrcd.ho.../?tid=9YBNB5DP",9-Sep-12,pangeyt8,0,8,,,,,http://5d4e9ziiv9ni9nedkjudwevrcd.hop.clickbank.net/?tid=9YBNB5DP,,Others,No
Visas and Immigration,"""Discover How You Can Immigrate to Canada"" ...Without Spending Thousands of Dollars",,3,"Another ad that promises everything, and only that... CAVEAT EMPTOR!!",12-Sep-12,ajibe_2009,0.04,116,,,,,,,"Expression, Comment",No
Parenting 101,"""Duling"" / ""Banlag""","""Duling"" / ""Banlag""",1,"First, what's the difference between ""duling"" and ""banlag""? What I know is that ""duling"" is being crosseyed with the weak eye looking inwards or towards the nose, while for ""banlag"", it's outwards or away from the nose. Is this an accurate description? Anwyway, being crosseyed (duling especially) seems to be fairly common in toddlers. What causes this? Is vision actually impaired? Does it go away without medical intervention, or should an eye doctor be consulted immediately? Are there exercises the kid can do to strengthen the weak eye? Anything the parents can do?",23-Jan-04,JdelaCruz,0.32,"1,829",,,,,,,Question,No
