subforum,thread_title,post_subject,post_counter,post_content,post_time,username,user_posts_per_day,user_total_posts,quoted_post,quoted_username,img_urls,embed_urls,other_urls
Travel and Leisure,Backpacking in Southeast Asia,Backpacking in Southeast Asia,1,"has anyone done this? can you guys share your itinerary. im planning to do a southeast asia trip. around 2 months long. i want to do malaysia, thailand, laos, cambodia, and vietnam. i can scrap malaysia if i can do myanmar. highlights of this trip is of course the beaches of south thailand, temples in north thailand, luang prabang, siem reap, ha long bay, and yangoon (if possible). everything should be done by land travel. anyone care to share their experiences?",22-Jan-07,mac326,0.51,"3,205",,,,,
Travel and Leisure,Backpacking in Southeast Asia,,2,wow sounds so much fun! are you travelling alone? and no visa required? what's your budget?,22-Jan-07,ADreamer,0.03,127,,,,,
Travel and Leisure,Backpacking in Southeast Asia,,3,I'm interested in doing this too. The first step for me would be Singapore this summer. I'll be staying in a hostel and everything. I'm actually very excited! :P,22-Jan-07,xxkissbangxx,0.11,439,,,,,
Travel and Leisure,Backpacking in Southeast Asia,,4,surf the archives of this blog: http://buhawi.blogspot.com nagback pack na siya sa SEA before.,22-Jan-07,beatlebum,0.42,"2,354",,,,,http://buhawi.blogspot.com
Travel and Leisure,Backpacking in Southeast Asia,,5,"i would say, scrap malaysia and go to myanmar. yangon and bagan (and mandalay) are the places to see in Myanmar. There's nothing special in malaysia (atleast for me), petronas lang.",22-Jan-07,veco_notebook,0.23,"1,273","has anyone done this? can you guys share your itinerary. im planning to do a southeast asia trip. around 2 months long. i want to do malaysia, thailand, laos, cambodia, and vietnam. i can scrap malaysia if i can do myanmar. highlights of this trip is of course the beaches of south thailand, temples in north thailand, luang prabang, siem reap, ha long bay, and yangoon (if possible). everything should be done by land travel. anyone care to share their experiences?",mac326,,,
Travel and Leisure,Backpacking in Southeast Asia,,6,"i agree... i was originally planning to go to pulau perhentian in malaysia but that would be too much beach for me since i'm planning krabi and phuket (and probably koh taruao) in thailand plus nha trang in vietnam. however, it seems that KL would be my point of entry because of the cheap flights via Air Asia and my first leg begins in southern thailand. Right now, I'm looking for a the most beautiful beach (something better than what we have) in mainland SEA. I've been to Phuket and Phi Phi Islands. They were great but nothing compared to our beaches. Still, i'm going back to Phuket kasi masaya lang talaga sa Phuket. Ano sa tingin nyo pinaka magandang beach doon na nasa pristine condition pa with not much development and crap? Thanks!",22-Jan-07,mac326,0.51,"3,205","i would say, scrap malaysia and go to myanmar. yangon and bagan (and mandalay) are the places to see in Myanmar. There's nothing special in malaysia (atleast for me), petronas lang.",veco_notebook,,,
Travel and Leisure,Backpacking in Southeast Asia,,7,"If you're looking to Malaysia as a port of entry, I would suggest to instead go to Kota Kinabalu (KK) instead of KL as it is also a major hub for Air Asia and Malaysia Air. KK is also less crowded and is not as fast or noisy as KL. You may also want to visit Tunku Abdul Rahman Park, which has great reefs for diving and snorkelling and is only 30 minutes from KK. You may also want to go to the Rafflesia reserve to see the world's largest (and smelliest) flower.",22-Jan-07,Verbl Kint,0.98,"5,110",,,,,
Travel and Leisure,Backpacking in Southeast Asia,,8,"Masaya to, take it from me. I started from Singapore, passing through Malaysia, Thailand, Cambodia, and ending in Saigon, Vietnam. My second trip was going from Phuket, Thailand, all the way to Hong Kong. You got to experience the Thai culture, nothing beats it. When you're in Singapore, try to stay at Betel Box Hostel, it's worth it, dami ka pa pinoys na makakasama if swerte ka.",23-Jan-07,SuPeR_MaN,0.31,"2,003",,,,,
Travel and Leisure,Backpacking in Southeast Asia,,9,"^ I'm planning to stay at the Inn Crowd, seems like more of a party place? But I heard and can tell that Betel Box is great too.",23-Jan-07,xxkissbangxx,0.11,439,,,,,
Travel and Leisure,Backpacking in Southeast Asia,,10,"Verbl Kint: KK is separate from mainland asia right? tingin ko KL talaga since I'm very interested in Luang Prabang, Siem Reap, and Yangoon. The biggest obstacle probably is crossing by land from Thailand to Myanmar. You know what, I can actually skip Phuket and Phi Phi since I've been there. I might try to explore the beaches of Myanmar but the thought of being in Myanmar for at least a week scares me. Safe kaya dun lalo na outside Yangoon? SuPeR_MaN: Astig naman yung Phuket to Hong Kong. Land travel ka ba? Did you end up doing Hanoi then taking public transport to Hong Kong? I read that there is no direct bus or train.",23-Jan-07,mac326,0.51,"3,205",,,,,
