subforum,thread_title,post_subject,post_counter,post_content,post_time,username,user_posts_per_day,user_total_posts,quoted_post,quoted_username,img_urls,embed_urls,other_urls
Personals,Anong gusto mong sabihin kay crush?,Anong gusto mong sabihin kay crush?,1,Anong gusto mong sabihin kay crush na di mo masabi ng personal? Hirap diba lalo pag nakikiapag-usap siya sa yo at di mo masabi kung ano talaga laman ng puso mo. haaaay..,"Oct 13, 2012",LONELYDON, 0.10, 236,,,,,
Personals,Anong gusto mong sabihin kay crush?,,5,**** you!,"Oct 13, 2012",sexyfive, 9.55," 21,610",,,,,
Personals,Anong gusto mong sabihin kay crush?,,8,You're smart and cute. Bagay tayo Kaso I'm in love with ... Damn!,"Oct 15, 2012",valerie_hatesyou, 1.75," 3,683",,,,,
Personals,Anong gusto mong sabihin kay crush?,,4,^off topic ka!,"Oct 13, 2012",katze_schmuse, 3.46," 6,742",,,,,
Personals,Anong gusto mong sabihin kay crush?,,6,"Mga Crush ko sa office. ""Ang cute nyo"" R.Higa Caio Ivan Dom Joseph Peng 2 chinese guys na laging magkasama na taga 6th floor Andrew","Oct 14, 2012",BOTTOMCHUBBY, 0.11, 259,,,,,
Personals,Anong gusto mong sabihin kay crush?,,9,"Dear Crush, Lalo kang gumagwapo kapag nakangiti ka, at mas lalong gwapo kapag para s'akin ngiti mo. Dalasan mo ah, para lagi kang gwapo.","Oct 27, 2012",CalamansiShake, 0.10, 193,,,,,
Personals,Anong gusto mong sabihin kay crush?,,2,"^nux PBB teens makiki PBB lang: ""ang wafu naman ng brain cells mo..killigssssssss much""","Oct 13, 2012",katze_schmuse, 3.46," 6,742",,,,,
Personals,Anong gusto mong sabihin kay crush?,,3,^naman! consistent parin kay brain cells ha,"Oct 13, 2012",mochanne, 0.16, 437,,,,,
Personals,Anong gusto mong sabihin kay crush?,,7,sa crush kong pexer hinahanap kita sa BP di kita maabutang OL tapos natotorpe naman akong iMSG ka haaaaaaaaaaaay,"Oct 14, 2012",alice_alice, 0.21, 409,,,,,
Personals,Anong gusto mong sabihin kay crush?,,13,"idadaan ko nalang sa kanta Matagal ko nang gustong malaman mo matagal ko nang itinatago-tago ‘to nahihiyang magsalita at umuurong aking dila pwede bang bukas na, ipagpaliban muna natin ‘to [refrain] Dahil kumukuha lang ng tyempo upang sabihin sa iyo [chorus] Kras kita pero ‘di mo lang alam Kras kita pero ‘di mo lang ramdam Kras kita kahit ‘di mo na ako tinitignan Kras kita kahit ‘di mo lang alam, oh oh woh","Oct 30, 2012",simplykhrizzie, 0.26, 600,,,,,
