subforum,thread_title,post_subject,post_counter,post_content,post_time,username,user_posts_per_day,user_total_posts,quoted_post,quoted_username,img_urls,embed_urls,other_urls
Personals,Anong gusto mong sabihin kay crush?,Anong gusto mong sabihin kay crush?,1,first,13-Oct-12,LONELYDON,0.1,236,,,,,
Personals,Anong gusto mong sabihin kay crush?,,2,second,13-Oct-12,katze_schmuse,3.46,"6,742",first,LONELYDON,1,,
Personals,Anong gusto mong sabihin kay crush?,,3,third,13-Oct-12,mochanne,0.16,437,first,LONELYDON,1,,
Personals,Anong gusto mong sabihin kay crush?,,4,fourth,13-Oct-12,katze_schmuse,3.46,"6,742",second,katze_schmuse,2,,
Personals,Anong gusto mong sabihin kay crush?,,5,fifth,13-Oct-12,sexyfive,9.55,"21,610",third,mochanne,2,,
Personals,Anong gusto mong sabihin kay crush?,,6,sixth,14-Oct-12,BOTTOMCHUBBY,0.11,259,fifth,sexyfive,3,,
Personals,Anong gusto mong sabihin kay crush?,,7,seventh,14-Oct-12,alice_alice,0.21,409,"fifth,<sep>,sixth","sexyfive,BOTTOMCHUBBY","3,4",,
Personals,Anong gusto mong sabihin kay crush?,,8,eighth,15-Oct-12,valerie_hatesyou,1.75,"3,683",,,,,
Personals,Anong gusto mong sabihin kay crush?,,9,ninth,27-Oct-12,CalamansiShake,0.1,193,,,,,
Privates,NEED CASH FAST?? Chinatrust Loan APPLY NOW,NEED CASH FAST?? Chinatrust Loan APPLY NOW,1,"NEED CASH FAST? For Business expansion, Christmas Gifts, Tuition Fee, Travel, House Renovations, Furniture, Electronic Gadgets, Credit Card Balance Transfer BORROW P30,000 TO P1 MILLION in CASH! NO Collateral, NO Co-maker, NO Pre-termination Charges To qualify: · Must be a REGULAR EMPLOYEE or BUSINESS OWNER or PART-OWNER of a company based in the Philippines · If call center employee, at least one and a half (1 ½) year work tenure · 23-59 years of age · With home or office landline · Minimum basic salary of P15,000 per month if residing in Metro Manila, Laguna, Cavite · Minimum basic salary of P10,000 per month if residing in: o Batangas, Rizal o Bulacan, Pampanga, Tarlac, Zambales, Bataan o Cebu o Davao APPLY FOR CHINATRUST CASH LOAN NOW! Loan Term: either 12, 18, 24 or 36 months Interest Rate: 1.39% to 1.59% 12-month term: 1.39% 18-month term: 1.49% 24-month or 36-month term: 1.59% (See attached Monthly Amortization Table) Easy Apply Online via EMAIL: 1. Download 2-page application form from the images attached. 2. Fill-out the 2-page application form. 3. Scan application form and other required documents. 4. Send to [email protected] Easy Apply Via FAX: 1. Fill-out the MS Word fax application form attached here. 2. Fax together with other required documents to 750-3530 or 750-3512 and attention to Claire/Yhen. Required Application Documents: 1. Duly accomplished and signed Chinatrust Application Form 2. Scanned or photocopy of company ID with photo and with 3 specimen signature 3. Scanned copy of latest ITR, BIR form 2316 4. Original or Photocopy of latest one (1) month payslip 5. Certificate of Employment showing compensation, hiring date and regular position Processing Time: 3 to 5 days Upon submission of COMPLETE documents For more details: Contact CLAIRE Cell #: 0929-4888-385 Email: [email protected] Website: http://www.chinatrust.com.ph http://ph.88db.com/ph/Services/Post_...?PostID=186227",15-Sep-08,Chinatrust Cash,0,2,,,,,"/cdn-cgi/l/email-protection#dbb8b3b2b5baafa9aea8aff5b7b4bab59bbcb6bab2b7f5b8b4b6,/cdn-cgi/l/email-protection#f09398999e918482858384de9c9f919eb0979d91999cde939f9d,http://www.chinatrust.com.ph,http://ph.88db.com/ph/Services/Post_Detail.page/personals_household_services/loan_insurance/?PostID=186227"
Privates,NEED CASH FAST?? Chinatrust Loan APPLY NOW,,2,Hi. Still available? I'm from tarlac.,20-Apr-17,mariconcirineo,0,0,"NEED CASH FAST? For Business expansion, Christmas Gifts, Tuition Fee, Travel, House Renovations, Furniture, Electronic Gadgets, Credit Card Balance Transfer BORROW P30,000 TO P1 MILLION in CASH! NO Collateral, NO Co-maker, NO Pre-termination Charges To qualify: · Must be a REGULAR EMPLOYEE or BUSINESS OWNER or PART-OWNER of a company based in the Philippines · If call center employee, at least one and a half (1 ½) year work tenure · 23-59 years of age · With home or office landline · Minimum basic salary of P15,000 per month if residing in Metro Manila, Laguna, Cavite · Minimum basic salary of P10,000 per month if residing in: o Batangas, Rizal o Bulacan, Pampanga, Tarlac, Zambales, Bataan o Cebu o Davao APPLY FOR CHINATRUST CASH LOAN NOW! Loan Term: either 12, 18, 24 or 36 months Interest Rate: 1.39% to 1.59% 12-month term: 1.39% 18-month term: 1.49% 24-month or 36-month term: 1.59% (See attached Monthly Amortization Table) Easy Apply Online via EMAIL: 1. Download 2-page application form from the images attached. 2. Fill-out the 2-page application form. 3. Scan application form and other required documents. 4. Send to [email protected] Easy Apply Via FAX: 1. Fill-out the MS Word fax application form attached here. 2. Fax together with other required documents to 750-3530 or 750-3512 and attention to Claire/Yhen. Required Application Documents: 1. Duly accomplished and signed Chinatrust Application Form 2. Scanned or photocopy of company ID with photo and with 3 specimen signature 3. Scanned copy of latest ITR, BIR form 2316 4. Original or Photocopy of latest one (1) month payslip 5. Certificate of Employment showing compensation, hiring date and regular position Processing Time: 3 to 5 days Upon submission of COMPLETE documents For more details: Contact CLAIRE Cell #: 0929-4888-385 Email: [email protected] Website: http://www.chinatrust.com.ph http://ph.88db.com/ph/Services/Post_...?PostID=186227",Chinatrust Cash,,,
"Love, Courtship and Marriage","""Almost"" Relationships","""Almost"" Relationships",1,"It's a norm these days; yung mga no label, no strings attached, etc. Why do you think this kind of relationship is prevalent and being accepted in this generation?",27-Apr-17,hello.sunshine,0.75,256,,,,,
"Love, Courtship and Marriage","""Almost"" Relationships",,2,Because people nowadays simply don't care or it's not as important as it used to be. People do what they want and don't want to be bothered or inconvenienced by those things anymore.,27-Apr-17,jcdy,0.89,"1,637",,,,,
"Love, Courtship and Marriage","""Almost"" Relationships",,3,"Nothing to worry about ts.. this type of relationship has been around for a very long time. In the past the only people who can engage in this type of relationship are those in very active social circles... Usually the rich.. Today, thank god for the internet, we can have sex with as many people we find interesting. Tumabla lang tayo sa mga mayayaman..",10-May-17,darmonx,1.14,"3,569",,,,,
"Love, Courtship and Marriage","""Almost"" Relationships",,4,"^ hmm interesting sa exp ko wala naman akong napansin na prevalent yang practice na yan nung formative years ko and my parents (are) and mingles with socialites,,rich people but not mega filthy rich. but I do got wind sometimes of extra marital affairs within or of some of them in their circle. iba na nga ngayon. mabilis ma influenced at mag evolve ang kabataan gawa nam innernet. fb ginagawang dating site. am daming giriian na nangyayari between opposite and same sexes",22-Jun-17,JUST_JT_,0.71,"1,823",,,,,
"Love, Courtship and Marriage","""Almost"" Relationships",,5,"Instant gratification coupled with restlessness and lack of patience. Habang masaya, game pa rin. Pero once na bore na, nagsawa na, hindi na fun, hahanap na ng iba. And having no labels make that easier to do.",22-Jun-17,Nils,4.34,"25,613","It's a norm these days; yung mga no label, no strings attached, etc. Why do you think this kind of relationship is prevalent and being accepted in this generation?",hello.sunshine,,,
"Love, Courtship and Marriage","""Almost"" Relationships",,6,"Always do what makes you happy... Stay away from stressors of the world... In short pag andyan na ang conflict, people these days find it easy to quit and move on just like that...",28-Jun-17,summerseth08,2.3,"5,688",,,,,
